Class Times	58
Rooms	47
1	960
2	629
3	41
4	584
5	165
6	558
7	935
8	870
9	837
10	992
11	13
12	311
13	683
14	568
15	287
16	905
17	190
18	717
19	542
20	834
21	493
22	716
23	792
24	28
25	731
26	22
27	32
28	757
29	430
30	503
31	701
32	944
33	671
34	991
35	107
36	967
37	48
38	592
39	860
40	843
41	205
42	893
43	484
44	261
45	825
46	308
47	408
Classes	260
Teachers	130
1	111
2	19
3	59
4	62
5	7
6	79
7	113
8	65
9	46
10	104
11	42
12	2
13	40
14	45
15	26
16	93
17	3
18	2
19	37
20	74
21	14
22	79
23	29
24	29
25	76
26	22
27	124
28	100
29	3
30	26
31	87
32	40
33	127
34	39
35	127
36	49
37	91
38	129
39	66
40	93
41	4
42	45
43	123
44	111
45	27
46	121
47	48
48	4
49	74
50	37
51	109
52	47
53	106
54	120
55	5
56	60
57	6
58	36
59	6
60	90
61	71
62	58
63	84
64	62
65	125
66	36
67	96
68	52
69	108
70	50
71	108
72	73
73	18
74	31
75	113
76	47
77	102
78	107
79	65
80	68
81	50
82	81
83	116
84	22
85	5
86	100
87	23
88	60
89	18
90	13
91	128
92	44
93	33
94	58
95	8
96	98
97	69
98	15
99	76
100	122
101	46
102	123
103	95
104	119
105	124
106	115
107	117
108	130
109	70
110	64
111	104
112	48
113	21
114	25
115	128
116	8
117	116
118	34
119	64
120	83
121	122
122	35
123	119
124	72
125	94
126	63
127	103
128	121
129	42
130	31
131	16
132	33
133	24
134	34
135	88
136	107
137	87
138	99
139	98
140	88
141	117
142	82
143	106
144	59
145	95
146	28
147	53
148	27
149	10
150	99
151	91
152	96
153	52
154	12
155	23
156	105
157	19
158	57
159	73
160	16
161	15
162	28
163	1
164	56
165	81
166	89
167	89
168	43
169	85
170	13
171	94
172	49
173	97
174	129
175	1
176	72
177	86
178	103
179	77
180	68
181	20
182	109
183	32
184	90
185	80
186	24
187	115
188	54
189	12
190	39
191	80
192	56
193	54
194	102
195	10
196	86
197	67
198	41
199	41
200	69
201	55
202	20
203	112
204	67
205	126
206	112
207	61
208	63
209	25
210	14
211	82
212	92
213	51
214	53
215	105
216	120
217	51
218	66
219	35
220	11
221	110
222	114
223	75
224	43
225	130
226	61
227	92
228	118
229	32
230	55
231	30
232	77
233	21
234	71
235	7
236	11
237	118
238	70
239	38
240	75
241	110
242	78
243	126
244	30
245	57
246	114
247	38
248	97
249	78
250	85
251	125
252	17
253	84
254	44
255	17
256	9
257	9
258	83
259	101
260	101
